doc,start,end,surfaceform,class,link,
1,148,162,Marc Langebeck,Person,http://de.dbpedia.org/resource/Marc_Langebeck,
1,17,45,Brandenburger Havelland,Location,http://de.dbpedia.org/resource/Havelland,
2,32,52,Berliner Landgericht,Location,http://de.dbpedia.org/resource/Landgericht_Berlin,
3,260,271,Rudi Bommer,Person,http://de.dbpedia.org/resource/Rudi_Bommer,
3,337,344,Lausitz,Location,http://de.dbpedia.org/resource/Lausitz,
3,559,565,Berlin,Location,http://de.dWbpedia.org/resource/Berlin,
3,570,581,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
3,588,598,Hertha BSC,Organisation,http://de.dbpedia.org/resource/Hertha_BSC,
3,736,748,Union Berlin,Organisation,http://de.dbpedia.org/resource/1._FC_Union_Berlin,
3,623,637,VfR Neumünster,Organisation,http://de.dbpedia.org/resource/VfR_Neum%C3%BCnster,
3,644,661,Schlewig-Holstein,Location,http://de.dbpedia.org/resource/Schleswig-Holstein,
3,926,939,Martin Dausch,Person,http://de.dbpedia.org/resource/Martin_Dausch,
3,806,821,Alten Försterei,Location,http://de.dbpedia.org/resource/Stadion_An_der_Alten_F%C3%B6rsterei,
3,1145,1160,Benjamin Köhler,Person,http://dbpedia.org/resource/Benjamin_K%C3%B6hler,
3,1193,1214,Frankfurter Eintracht,Organisation,http://de.dbpedia.org/resource/Eintracht_Frankfurt,
3,1363,1371,Hannover,Location,http://de.dbpedia.org/resource/Hannover,
3,1713,1720,Neuhaus,Person,http://de.dbpedia.org/resource/Uwe_Neuhaus,
3,1442,1450,Kroatien,Location,http://de.dbpedia.org/resource/Kroatien,
4,63,70,Europas,Location,http://de.dbpedia.org/resource/Europa,
4,395,401,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
4,678,686,Portugal,Location,http://de.dbpedia.org/resource/Portugal,
4,706,714,Mosambik,Location,http://de.dbpedia.org/resource/Mosambik,
4,1636,1639,DDR,Location,http://de.dbpedia.org/resource/Deutsche_Demokratische_Republik,
4,1664,1667,BRD,Location,http://de.dbpedia.org/resource/BRD,
5,333,351,Fußball-Bundesliga,Organisation,http://de.dbpedia.org/resource/Bundesliga,
5,18,60,Internationalen Speedminton-Verbandes,Organisation,http://de.dbpedia.org/resource/Internationale_Speed-Badminton_Organisation,
6,60,71,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
6,131,149,Berliner Mauerpark,Location,http://de.dbpedia.org/resource/Mauerpark,
6,353,364,Schöneweide,Location,http://de.dbpedia.org/resource/Sch%C3%B6neweide,
6,597,601,Kiez,Location,http://de.dbpedia.org/resource/Kiez,
6,49,55,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,32,53,Kronprinzessin Amalia,Person,http://de.dbpedia.org/resource/Catharina-Amalia_van_Oranje,
7,85,97,Niederlanden,Location,http://de.dbpedia.org/resource/Niederlande,
7,153,165,Neuen Kirche,Location,http://de.dbpedia.org/resource/Nieuwe_Kerk_(Amsterdam),
7,169,178,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
7,238,254,Holländerviertel,Location,http://de.dbpedia.org/resource/Holl%C3%A4ndisches_Viertel,
7,258,265,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
7,278,293,Prenzlauer Berg,Location,http://de.dbpedia.org/resource/Berlin-Prenzlauer_Berg,
7,646,653,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1242,1249,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,1070,1077,Holland,Location,http://de.dbpedia.org/resource/Holland,
7,854,869,Hendrik Marsman,Person,http://de.dbpedia.org/resource/Hendrik_Marsman,
7,1500,1515,Prenzlauer Berg,Location,http://de.dbpedia.org/resource/Berlin-Prenzlauer_Berg,
7,1717,1729,Rudi Carrell,Person,http://de.dbpedia.org/resource/Rudi_Carrell,
7,1493,1499,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,2005,2011,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
7,897,903,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
8,244,262,Lausitzer Seenland,Location,http://de.dbpedia.org/resource/Lausitzer_Seenland,
8,528,541,Senftenberger,Location,http://de.dbpedia.org/resource/Senftenberger_See,
8,553,569,Geierswalder See,Location,http://de.dbpedia.org/resource/Geierswalder_See,
9,640,656,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1105,1111,Berlin,Location,http://dbpedia.org/resource/Berlin,
9,1150,1166,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1260,1269,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
9,450,466,Tempelhofer Feld,Location,http://de.dbpedia.org/resource/Tempelhofer_Feld,
9,1395,1404,Amsterdam,Location,http://de.dbpedia.org/resource/Amsterdam,
9,2634,2637,CDU,Organisation,http://de.dbpedia.org/resource/Christlich_Demokratische_Union_Deutschlands,
9,3249,3252,ICC,Organisation,http://de.dbpedia.org/resource/Internationales_Congress_Centrum_Berlin,
9,998,1004,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
9,3280,3283,ZLB,Organisation,http://de.dbpedia.org/resource/Zentral-_und_Landesbibliothek_Berlin,
9,1636,1642,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
9,2016,2022,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
10,95,120,deutsche Friedensbewegung,Organisation,http://de.dbpedia.org/resource/Friedensbewegung,
10,362,367,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,837,842,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,1471,1476,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,1880,1885,Obama,Person,http://de.dbpedia.org/resource/Barack_Obama,
10,435,447,Berlin-Tegel,Location,http://de.dbpedia.org/resource/Flughafen_Berlin-Tegel,
10,951,954,rbb,Organisation,http://de.dbpedia.org/resource/Rundfunk_Berlin-Brandenburg,
10,1846,1859,Ritz Charlton,Organisation,http://de.dbpedia.org/resource/Ritz-Carlton,
10,1964,1977,Ritz Charlton,Organisation,http://de.dbpedia.org/resource/Ritz-Carlton,
10,2075,2092,Brandenburger Tor,Location,http://de.dbpedia.org/resource/Brandenburger_Tor,
10,2443,2458,Pariser Platzes,Location,http://de.dbpedia.org/resource/Pariser_Platz,
10,2464,2469,Spree,Location,http://de.dbpedia.org/resource/Spree,
11,1306,1324,Staatsanwaltschaft,Organisation,http://de.dbpedia.org/resource/Staatsanwaltschaft_(Deutschland),
11,1395,1413,Staatsanwaltschaft,Organisation,http://de.dbpedia.org/resource/Staatsanwaltschaft_(Deutschland),
11,20,35,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
11,321,333,Ludwigsfelde,Location,http://de.dbpedia.org/resource/Ludwigsfelde,
12,3691,3697,Bayern,Location,http://de.dbpedia.org/resource/Bayern,
12,3672,3683,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
12,3707,3713,Neapel,Location,http://de.dbpedia.org/resource/Neapel,
12,237,248,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
13,4,37,Internationale Olympische Komitee,Organisation,http://de.dbpedia.org/resource/Internationales_Olympisches_Komitee,
14,99,111,Oranienplatz,Location,http://de.dbpedia.org/resource/Oranienplatz,
14,243,250,Lietzen,Location,http://de.dbpedia.org/resource/Lietzen,
14,309,319,Bundeswehr,Organisation,http://de.dbpedia.org/resource/Bundeswehr,
14,429,438,Oderbruch,Location,http://de.dbpedia.org/resource/Oderbruch,
14,451,460,Uckermark,Location,http://de.dbpedia.org/resource/Uckermark,
14,568,583,Nollendorfplatz,Location,http://de.dbpedia.org/resource/Nollendorfplatz,
14,587,597,Schöneberg,Location,http://de.dbpedia.org/resource/Berlin-Sch%C3%B6neberg,
15,3,9,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,761,767,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,1052,1058,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
15,82,113,Ministerpräsienten Erdogan,Person,http://dbpedia.org/resource/Recep_Tayyip_Erdo%C4%9Fan,
15,170,184,Kottbusser Tor,Location,http://de.dbpedia.org/resource/Kottbusser_Tor,
15,188,197,Kreuzberg,Location,http://de.dbpedia.org/resource/Berlin-Kreuzberg,
15,478,482,A 24,Location,http://de.dbpedia.org/resource/Bundesautobahn_24,
15,825,828,S85,Location,http://de.dbpedia.org/resource/S85,
15,1083,1099,Willem-Alexander,Person,http://de.dbpedia.org/resource/Willem-Alexander,
15,1104,1110,Maxima,Person,http://de.dbpedia.org/resource/M%C3%A1xima_der_Niederlande,
15,1116,1138,Bundeskanzlerin Merkel,Person,http://de.dbpedia.org/resource/Angela_Merkel,
15,1169,1190,Bundespräsident Gauck,Person,http://de.dbpedia.org/resource/Joachim_Gauck,
15,1239,1248,Luxemburg,Location,http://de.dbpedia.org/resource/Luxemburg,
16,219,230,Hotel Adlon,Location,http://de.dbpedia.org/resource/Hotel_Adlon,
16,437,448,Hotel Adlon,Location,http://de.dbpedia.org/resource/Hotel_Adlon,
16,372,384,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,490,502,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,707,719,Willy Bogner,Person,http://de.dbpedia.org/resource/Willy_Bogner_junior,
16,962,968,London,Location,http://de.dbpedia.org/resource/London,
16,1174,1218,Ex-Handballbundestrainer Heiner Brand,Person,http://de.dbpedia.org/resource/Heiner_Brand,
16,1224,1275,Bundesinnenminister Hans-Peter Friedrich,Person,http://de.dbpedia.org/resource/Hans-Peter_Friedrich,
16,1422,1439,Franz Beckenbauer,Person,http://de.dbpedia.org/resource/Franz_Beckenbauer,
16,1445,1452,München,Location,http://de.dbpedia.org/resource/M%C3%BCnchen,
16,1456,1463,München,Location,http://de.dbpedia.org/resource/M%C3%BCnchen,
17,253,276,Berliner Philharmoniker,Organisation,http://de.dbpedia.org/resource/Berliner_Philharmoniker,
17,379,383,Prag,Location,http://de.dbpedia.org/resource/Prag,
17,542,553,Prager Burg,Location,http://de.dbpedia.org/resource/Prager_Burg,
17,652,658,Dvorák,Person,http://de.dbpedia.org/resource/Anton%C3%ADn_Dvo%C5%99%C3%A1k,
18,2012,2017,Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,100,117,Talsperre Bautzen,Location,http://de.dbpedia.org/resource/Talsperre_Bautzen,
18,211,215,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
18,240,251,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,607,618,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,464,513,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,623,638,Hartmut Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1348,1360,Rainer Bomba,Person,http://de.dbpedia.org/resource/Rainer_Bomba,
18,1382,1407,Bundesverkehrsministerium,Organisation,http://de.dbpedia.org/resource/Bundesministerium_f%C3%BCr_Verkehr_und_digitale_Infrastruktur,
18,1589,1594,Amman,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,1674,1679,Amman,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,913,921,Mehdorns,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1529,1541,Hauptbahnhof,Location,http://de.dbpedia.org/resource/Berlin_Hauptbahnhof,
18,1570,1577,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
18,1553,1559,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
18,1684,1691,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1424,1431,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
18,1855,1866,Horst Amann,Person,http://de.dbpedia.org/resource/Horst_Amann,
18,1694,1701,Mehdorn,Person,http://de.dbpedia.org/resource/Hartmut_Mehdorn,
19,4,27,Strecke Berlin-Hannover,Location,http://de.dbpedia.org/resource/Schnellfahrstrecke_Hannover%E2%80%93Berlin,
19,229,243,Berlin-Wedding,Location,http://de.dbpedia.org/resource/Berlin-Wedding,
19,685,711,Bildungssenatorin Scheeres,Person,http://de.dbpedia.org/resource/Sandra_Scheeres,
19,920,932,Messe Berlin,Location,http://de.dbpedia.org/resource/Messe_Berlin,
19,1023,1048,Wirtschaftssenatorin Yzer,Person,http://de.dbpedia.org/resource/Cornelia_Yzer,
19,1055,1064,City Cube,Location,http://de.dbpedia.org/resource/CityCube_Berlin,
19,1091,1107,Deutschlandhalle,Location,http://de.dbpedia.org/resource/Deutschlandhalle,
19,610,616,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
19,1384,1395,Walter Jens,Person,http://de.dbpedia.org/resource/Walter_Jens,
19,1468,1476,Tübingen,Location,http://de.dbpedia.org/resource/T%C3%BCbingen,
19,1210,1213,ICC,Location,http://de.dbpedia.org/resource/Internationales_Congress_Centrum_Berlin,
20,135,149,Olympiastadion,Location,http://de.dbpedia.org/resource/Olympiastadion_Berlin,
20,162,183,Reiter-Olympiastadion,Location,http://de.dbpedia.org/resource/Olympia-Reiterstadion_Berlin,
20,1333,1344,Deutschland,Location,http://de.dbpedia.org/resource/Deustchland,
20,1411,1422,Deutschland,Location,http://de.dbpedia.org/resource/Deustchland,
20,857,883,Reitstadion am Olympiapark,Location,http://de.dbpedia.org/resource/Olympia-Reiterstadion_Berlin,
21,0,41,Bundesforschungsministerin Johanna Wanka,Person,http://de.dbpedia.org/resource/Johanna_Wanka,
21,567,578,Brandenburg,Location,http://dbpedia.org/resource/Brandenburg,
21,1150,1162,Birkenwerder,Location,http://de.dbpedia.org/resource/Birkenwerder,
21,1941,1953,Birkenwerder,Location,http://de.dbpedia.org/resource/Birkenwerder,
21,1244,1251,Storkow,Location,http://de.dbpedia.org/resource/Storkow_(Mark),
22,1243,1254,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
22,279,291,Frank Henkel,Person,http://de.dbpedia.org/resource/Frank_Henkel,
22,1059,1065,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
22,1340,1346,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
22,1462,1468,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
23,1474,1482,Bukarest,Location,http://de.dbpedia.org/resource/Bukarest,
23,258,264,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
23,1572,1580,Rumänien,Location,http://de.dbpedia.org/resource/Rum%C3%A4nien,
23,202,218,Flughafens Tegel,Location,http://de.dbpedia.org/resource/Flughafen_Berlin-Tegel,
24,68,84,aturkundemuseum.,Location,http://de.dbpedia.org/resource/Museum_f%C3%BCr_Naturkunde_(Berlin),
24,281,289,iesdorf,Location,http://de.dbpedia.org/resource/Berlin-Biesdorf,
24,1882,1893,ellersdorf.,Location,http://de.dbpedia.org/resource/Bezirk_Marzahn-Hellersdorf,
25,105,111,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
25,225,232,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
25,2237,2248,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
25,56,67,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
25,716,723,Ukraine,Location,http://de.dbpedia.org/resource/Ukraine,
25,743,749,Lübben,Location,http://de.dbpedia.org/resource/L%C3%BCbben_(Spreewald),
25,2400,2406,Lübben,Location,http://de.dbpedia.org/resource/L%C3%BCbben_(Spreewald),
26,995,1014,Heizkraftwerk Rudow,Location,http://de.dbpedia.org/resource/Heizkraftwerk_Berlin-Rudow,
26,475,483,Prignitz,Location,http://de.dbpedia.org/resource/Prignitz,
26,686,696,Air Berlin,Organisation,http://de.dbpedia.org/resource/Air_Berlin,
26,749,768,Vereinigung Cockpit,Entity,http://de.dbpedia.org/resource/Vereinigung_Cockpit,
26,1452,1460,Haßleben,Location,http://de.dbpedia.org/resource/Ha%C3%9Fleben,
26,1541,1570,Landesamtes für Umweltschutz,Organisation,http://de.dbpedia.org/resource/Landesamt_f%C3%BCr_Umwelt_Landwirtschaft_und_Geologie,
26,421,429,Platzeck,Person,http://de.dbpedia.org/resource/Matthias_Platzeck,
26,255,290,Ministerpräsident Platzeck,Person,http://de.dbpedia.org/resource/Matthias_Platzeck,
27,210,222,Monbijoupark,Location,http://de.dbpedia.org/resource/Monbijoupark,
27,2374,2380,Tafeln,Organisation,http://de.dbpedia.org/resource/Tafel_(Organisation),
28,183,187,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
28,75,90,Bad Liebenwerda,Location,http://de.dbpedia.org/resource/Bad_Liebenwerda,
28,816,820,Elbe,Location,http://de.dbpedia.org/resource/Elbe,
28,113,121,Herzberg,Location,http://de.dbpedia.org/resource/Herzberg,
28,196,212,Schwarzen Elster,,http://de.dbpedia.org/resource/Schwarze_Elster,
28,426,431,Spree,Location,http://de.dbpedia.org/resource/Spree,
28,435,442,Cottbus,Location,http://de.dbpedia.org/resource/Cottbus,
29,449,456,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,757,764,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,843,850,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1418,1425,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1500,1507,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,1679,1686,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,2217,2224,Charite,Organisation,http://de.dbpedia.org/resource/H%C3%B4pital_de_la_Charit%C3%A9,
29,484,489,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
29,954,959,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
29,1937,1951,Campus Virchow,Location,http://de.dbpedia.org/resource/Rudolf-Virchow-Krankenhaus,
29,2296,2302,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
29,612,618,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
30,278,286,Istanbul,Location,http://de.dbpedia.org/resource/Istambul,
30,369,378,Gezi-Park,Location,http://de.dbpedia.org/resource/Gezi-Park,
30,591,603,Taksim-Platz,Location,http://de.dbpedia.org/resource/Taksim-Platz,
30,743,752,Kreuzberg,Location,http://de.dbpedia.org/resource/Berlin-Kreuzberg,
31,590,616,Deutsche Gewerkschaftsbund,Organisation,http://de.dbpedia.org/resource/Deutscher_Gewerkschaftsbund,
31,624,636,Berlin-Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
31,654,661,Potsdam,Location,http://de.dbpedia.org/resource/Postdam,
31,670,677,Cottbus,Location,http://de.dbpedia.org/resource/Cottbus,
31,2024,2030,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
31,882,885,BVG,Organisation,http://de.dbpedia.org/resource/BVG,
31,2363,2406,Gewerkschaft für Erziehung und Wissenschaft,Organisation,http://de.dbpedia.org/resource/Gewerkschaft_Erziehung_und_Wissenschaft,
31,2158,2169,Brandenburg,Location,http://de.dbpedia.org/resource/Brandenburg,
31,2408,2411,GEW,Organisation,http://de.dbpedia.org/resource/Gewerkschaft_Erziehung_und_Wissenschaft,
32,1230,1233,DHL,Organisation,http://de.dbpedia.org/resource/Berlin,
32,296,307,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
32,551,567,Post-Tochter DHL,Organisation,http://de.dbpedia.org/resource/DHL,
32,633,639,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
32,1302,1308,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
32,731,736,Mitte,Location,http://de.dbpedia.org/resource/Berlin-Mitte,
32,1587,1593,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
33,352,384,ostdeutsche Rosengarten in Forst,Location,http://de.dbpedia.org/resource/Ostdeutscher_Rosengarten_Forst_(Lausitz),
34,72,87,Friedrichshafen,Location,http://de.dbpedia.org/resource/Friedrichshafen,
34,451,454,NSU,Organisation,http://de.dbpedia.org/resource/NSU,
34,919,927,Mercedes,Organisation,http://de.dbpedia.org/resource/Mercedes-Benz,
34,938,956,Berlin-Marienfelde,Location,http://de.dbpedia.org/resource/Berlin-Marienfelde,
34,1021,1030,IG Metall,Organisation,http://de.dbpedia.org/resource/IG-Metall,
34,1126,1143,Brandenburger Tor,Location,http://de.dbpedia.org/resource/Brandenburger_Tor,
34,1349,1363,Bayern München,Organisation,http://de.dbpedia.org/resource/FC_Bayern_M%C3%BCnchen,
34,1408,1428,Berliner Landgericht,Location,http://de.dbpedia.org/resource/Landgericht_Berlin,
34,1577,1584,Spandau,Location,http://de.dbpedia.org/resource/Berlin-Spandau,
35,402,413,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
35,202,208,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
35,144,153,Stuttgart,Location,http://de.dbpedia.org/resource/Stuttgart,
35,1251,1267,Bundeskartellamt,Organisation,http://de.dbpedia.org/resource/Bundeskartellamt,
36,217,228,Wittenberge,Location,http://de.dbpedia.org/resource/Wittenberge,
36,236,244,Prignitz,Location,http://de.dbpedia.org/resource/Prignitz,
36,271,293,Bundeskanzlerin Merkel,Person,http://de.dbpedia.org/resource/Angela_Merkel,
37,138,152,Kurfürstendamm,Location,http://de.dbpedia.org/resource/Kurf%C3%BCrstendamm,
37,158,166,Premnitz,Location,http://de.dbpedia.org/resource/Premnitz,
37,250,258,Dänemark,Location,http://de.dbpedia.org/resource/D%C3%A4nemark,
37,414,420,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
37,580,590,Österreich,Location,http://de.dbpedia.org/resource/%C3%96sterreich,
37,597,604,Schweiz,Location,http://de.dbpedia.org/resource/Schweiz,
37,606,616,Tschechien,Location,http://de.dbpedia.org/resource/Tschechien,
37,618,623,Chile,Location,http://de.dbpedia.org/resource/Chile,
37,632,638,Türkei,Location,http://de.dbpedia.org/resource/T%C3%BCrkei,
38,168,183,Gendarmen Markt,Location,http://de.dbpedia.org/resource/Gendarmenmarkt,
38,230,240,Ulli Zelle,Person,http://de.dbpedia.org/resource/Ulli_Zelle,
38,300,304,Ulli,Person,http://de.dbpedia.org/resource/Ulli_Zelle,
39,100,108,Snowdens,Person,http://de.dbpedia.org/resource/Edward_Snowden,
39,326,332,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
39,636,642,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
39,558,580,US-Botschafters Murphy,Person,http://de.dbpedia.org/resource/Philip_D._Murphy,
39,923,940,Philipp D. Murphy,Person,http://de.dbpedia.org/resource/Philip_D._Murphy,
39,1029,1040,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
39,1455,1466,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
39,1863,1874,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
39,1908,1919,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
39,2744,2755,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
39,1475,1478,USA,Location,http://de.dbpedia.org/resource/Vereinigte_Staaten,
39,1898,1901,USA,Location,http://de.dbpedia.org/resource/Vereinigte_Staaten,
39,1652,1655,USA,Location,http://de.dbpedia.org/resource/Vereinigte_Staaten,
39,1967,1970,USA,Location,http://de.dbpedia.org/resource/Vereinigte_Staaten,
39,2757,2763,London,Location,http://de.dbpedia.org/resource/London,
39,2727,2742,Brooklyn Bridge,Location,http://de.dbpedia.org/resource/Brooklyn_Bridge,
40,1594,1612,Bundesanwaltschaft,Organisation,http://de.dbpedia.org/resource/Bundesanwaltschaft,
40,322,338,Innenministerium,Organisation,http://de.dbpedia.org/resource/Innenministerium,
40,1384,1387,RAZ,Organisation,http://de.dbpedia.org/resource/Revolution%C3%A4re_Aktionszellen,
40,743,749,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
40,937,964,Revolutionäre Aktionszellen,Organisation,http://de.dbpedia.org/resource/Revolution%C3%A4re_Aktionszellen,
40,981,984,RAZ,Organisation,http://de.dbpedia.org/resource/Revolution%C3%A4re_Aktionszellen,
40,1039,1048,Magdeburg,Location,http://de.dbpedia.org/resource/Magdeburg,
40,1053,1062,Stuttgart,Location,http://de.dbpedia.org/resource/Stuttgart,
40,1098,1126,Revolutionären Aktionszellen,Organisation,http://de.dbpedia.org/resource/Revolution%C3%A4re_Aktionszellen,
40,1402,1425,Innenminister Friedrich,Person,http://de.dbpedia.org/resource/Hans-Peter_Friedrich,
40,1527,1545,Bundesanwaltschaft,Organisation,http://de.dbpedia.org/resource/Bundesanwaltschaft,
40,1010,1028,Bundesanwaltschaft,Organisation,http://de.dbpedia.org/resource/Bundesanwaltschaft,
41,1570,1580,Arbeitsamt,Organisation,http://de.dbpedia.org/resource/Bundesagentur_f%C3%BCr_Arbeit,
41,346,352,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
41,1904,1910,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
41,2318,2322,Kuba,Location,http://de.dbpedia.org/resource/Kuba,
41,2328,2339,Deutschland,Location,http://de.dbpedia.org/resource/Deutschland,
41,1418,1425,Charite,Organisation,http://de.dbpedia.org/resource/Charit%C3%A9,
42,145,155,Soko Villa,Organisation,http://de.dbpedia.org/resource/Sonderkommission,
42,175,184,Bundestag,Organisation,http://de.dbpedia.org/resource/Deutscher_Bundestag,
42,558,564,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
42,1367,1373,Berlin,Location,http://de.dbpedia.org/resource/Berlin,
42,640,650,Schöneberg,Location,http://de.dbpedia.org/resource/Berlin-Sch%C3%B6neberg,
